cnpj,ispb,corporate_name,is_iap,is_acquirer,is_bank_account_owner,is_issuer,is_settler,is_subacquirer,is_subacquirer_receiver
11200418000592,11200418,GFG COMERCIO DIGITAL LTDA.,False,False,False,False,False,False,True
11200418000673,11200418,GFG COMERCIO DIGITAL LTDA.,False,False,False,False,False,False,True
11299933000148,11299933,ARTHUR DE SOUZA ACCIOLY INFORMATICA,False,False,False,False,False,False,True
11650803000108,11650803,DLVR SERVICOS E TECNOLOGIA LTDA,False,False,False,False,False,False,True
12300479000160,12300479,DDTOTAL SERVICOS FINANCEIROS LTDA,False,False,False,False,False,False,True
12645614000100,12645614,ERP TECNOLOGIA LTDA,False,False,False,False,False,False,True
12740852000102,12740852,PAGUEMOB SERVICOS E SOLUCOES EM MEIOS DE PAGAMENTO LTDA,False,False,False,False,False,False,True
12762859000117,12762859,ANGULAR SISTEMA DE PAGAMENTOS DIGITAIS LTDA,False,False,False,False,False,False,True
13072180000169,13072180,UNIPAY GESTAO DE PAGAMENTOS LTDA.,False,False,False,False,False,False,True
13236697000146,13236697,EBANX S.A,False,False,False,False,False,False,True
13481309000192,13481309,RN COMERCIO VAREJISTA S.A,False,False,False,False,False,False,True
14109242000122,14109242,MOEDA DIGITAL SERVICOS DE INFORMATICA LTDA,False,False,False,False,False,False,True
14146966000146,14146966,MAXIPAGO SERVICOS DE INTERNET LTDA,False,False,False,False,False,False,True
14338304000178,14338304,YAPAY PAGAMENTOS ONLINE LTDA,False,False,False,False,False,True,True
14476001000111,14476001,TAKI PAGAMENTOS S/A,False,False,False,False,False,False,True
14617101000110,14617101,EVCASH MEIOS DE PAGAMENTOS LTDA,False,False,False,False,False,False,True
14776142000150,14776142,WESTWING COMERCIO VAREJISTA LTDA,False,False,False,False,False,False,True
14776142000311,14776142,WESTWING COMERCIO VAREJISTA LTDA,False,False,False,False,False,False,True
14928256000178,14928256,IMPLY RENTAL LOCACAO DE EQUIPAMENTOS E SERVICOS LTDA.,False,False,False,False,False,False,True
15137164000132,15137164,CELL PRESERVE COBRANCA LTDA,False,False,False,False,False,False,True
15150423000165,15150423,EMPRESA BRASILEIRA DE COMERCIALIZACAO DE INGRESSOS S.A.,False,False,False,False,False,False,True
15185132000102,15185132,PAYLEVEN TECNOLOGIA LTDA,False,False,True,False,False,False,True
15327706000130,15327706,DIRECT FACIL ADMINISTRADORA DE CARTOES EIRELI,False,False,False,False,False,False,True
15427207000114,15427207,INFRACOMMERCE NEGOCIOS E SOLUCOES EM INTERNET LTDA.,False,False,False,False,False,False,True
16501555000157,16501555,STONE PAGAMENTOS S.A.,False,True,True,True,True,True,False
16809351000188,16809351,EASY TAXI SERVICOS LTDA,False,False,False,False,False,False,True
16843412000123,16843412,REDEPAG - MEIOS DE PAGAMENTOS S/A,False,False,False,False,False,False,True
16883876000163,16883876,AP BRASIL - CONSULTORIA EMPRESARIAL LTDA.,False,False,False,False,False,False,True
17069862000173,17069862,TRAY PARTICIPACOES S.A.,False,False,False,False,False,False,True
17192926000129,17192926,BELA PAGAMENTOS LTDA,False,False,False,False,False,False,True
17214696000151,17214696,IBONUS REDE DE PAGAMENTOS LTDA,False,False,False,False,False,False,True
17339233000116,17339233,RADIOCORP SOLUÇÕES PARA SAÚDE S.A,False,False,False,False,False,False,True
17344776000121,17344776,IZETTLE DO BRASIL MEIOS DE PAGAMENTO LTDA,False,True,False,False,False,True,False
17344776000202,17344776,IZETTLE DO BRASIL MEIOS DE PAGAMENTO LTDA,False,False,False,False,False,False,True
17544604000100,17544604,EASY FOR PAYMENT ADMINISTRADORA DE CARTOES DE CREDITO LTDA,False,False,False,False,False,False,True
17716641000140,17716641,WORLDWIDE DIGITAL PAYMENTS,False,False,False,False,False,False,True
17750913000128,17750913,ONLINE IPS BRAZIL ADMINISTRACAO DE PAGAMENTOS LTDA,False,False,False,False,False,False,True
17768068000207,17768068,ESMERALDA SERVIÇOS DIGITAIS LTDA,False,False,False,False,False,False,True
17768534000246,17768534,AMETISTA SERVICOS DIGITAIS LTDA,False,False,False,False,False,False,True
17803403000171,17803403,SAFIRA SERVIÇOS DIGITAIS LTDA,False,True,False,False,False,True,False
17819084000192,17819084,PAGGCERTO SOLUCOES EM PAGAMENTO S.A.,False,False,False,False,False,False,True
17958722000156,17958722,JEFFERSON SOUSA FERREIRA DA SILVA,False,False,False,False,False,False,True
18277493000177,18277493,LOGGI TECNOLOGIA LTDA.,False,False,False,False,False,False,True
18286859000174,18286859,IMM DIGITAL I LTDA,False,False,False,False,False,False,True
18672547000107,18672547,COBRATUDO COBRANCAS E ADMINISTRACAO LTDA,False,False,False,False,False,False,True
18727053000174,18727053,PAGAR.ME PAGAMENTOS S.A.,False,False,True,False,False,True,False
19250003000101,19250003,PAGOS4ALL - INSTITUICAO DE PAGAMENTO LTDA - EM LIQUIDACAO,False,False,False,False,False,False,True
19276155000183,19276155,MSX WALLET PAGAMENTOS ONLINE LTDA,False,False,False,False,False,False,True
19943373000124,19943373,FRONTLINE MARKETING LTDA,False,False,False,False,False,False,True
20250105000106,20250105,LISTO TECNOLOGIA S.A.,False,False,False,False,False,True,False
20551972000181,20551972,"BEBLUE SOLUÇÕES DE CASHBACK, SERVIÇOS PROMOCIONAIS E MEIOS DE PAGAMENTOS S.A",False,True,False,False,False,True,False
20810564000105,20810564,WH FOOD PARTICIPACOES LTDA,False,False,False,False,False,False,True
21041840000172,21041840,ALLPAGO PROCESSADORA E ADMINISTRADORA DE SOLUCOES DE PAGAMENTO LTDA.,False,False,False,False,False,False,True
21332862000191,21332862,CARTOS SOCIEDADE DE CRÉDITO DIRETO S.A.,False,False,False,False,False,False,True
21491969000182,21491969,CLOUDWALK INC.,False,False,False,False,False,False,True
21518367000171,21518367,ISYBUY SOLUCOES DE PAGAMENTO LTDA,False,False,False,False,False,False,True
21586640000103,21586640,F&O TECNOLOGIA LTDA,False,False,False,False,False,False,True
21832582000142,21832582,REDE PONTO MAIS - TECNOLOGIA EM MEIOS DE PAGAMENTOS LTDA,False,False,False,False,False,False,True
22177858000240,22177858,GRANITO SOLUÇÕES EM PAGAMENTO S.A,False,False,False,False,False,False,True
22177858000320,22177858,GRANITO SOLUÇÕES EM PAGAMENTO S.A,False,False,False,False,False,False,True
22238779000110,22238779,LCA PRODUCOES E EVENTOS LTDA,False,False,False,False,False,False,True
22366799000177,22366799,RAKUTEN BRASIL FINANCIAL SERVICES LTDA,False,False,False,False,False,False,True
22493172000187,22493172,SW SOLUCOES EM PAGAMENTOS LTDA,False,False,False,False,False,False,True
22575466000158,22575466,M18 ADMINISTRACAO DE RECURSOS E FINANCAS S.A.,False,False,False,False,False,False,True
22893719000131,22893719,BEMFACIL SERVICOS E TECNOLOGIA LTDA,False,False,False,False,False,False,True
23041219000134,23041219,CSS TECNOLOGIA LTDA,False,False,False,False,False,False,True
23268056000127,23268056,SMARTMEI SERVICOS DE TECNOLOGIA LTDA,False,False,False,False,False,False,True
23322675000152,23322675,INTERMEIO SOLUCOES DE PAGAMENTO LTDA,False,False,False,False,False,False,True
23445690000198,23445690,PASSEPAGUE.COM.BR REPRESENTACOES LTDA,False,False,False,False,False,False,True
23483494000108,23483494,4ALL TECNOLOGIA S.A.,False,False,False,False,False,False,True
23515431000196,23515431,PULSARPAY PAGAMENTOS LTDA,False,False,False,False,False,False,True
23699227000172,23699227,TH BRASIL SERVICOS DE INTERNET LTDA,False,False,False,False,False,False,True
23736399000179,23736399,NETCRED SERVICOS DE PAGAMENTO E APOIO ADMINISTRATIVO LTDA,False,False,False,False,False,False,True
24177242000113,24177242,ICON CENTRO DE GERENCIAMENTO DE PAGAMENTOS LTDA,False,False,False,False,False,False,True
24321411000147,24321411,APG CARD PAGAMENTOS S A,False,False,False,False,False,False,True
24445103000123,24445103,NYATA SERVICOS FINANCEIROS LTDA,False,False,False,False,False,False,True
24451242000160,24451242,AGILLI ADQUIRENCIA E SERVICOS DE CAPTURA LTDA,False,False,False,False,False,False,True
24788118000194,24788118,CARTOS FINTECH MEIOS DE PAGAMENTOS S.A,False,False,False,False,False,False,True
24866506000146,24866506,CABIFY AGENCIA DE SERVICOS DE TRANSPORTE DE PASSAGEIROS LTDA,False,False,False,False,False,False,True
25063833000122,25063833,WIDE PAY PROCESSADOR DE PAGAMENTOS LTDA,False,False,False,False,False,False,True
25104230000121,25104230,ROADPASS PAYMENTS & URBAN MOBILITY LTDA,False,False,False,True,False,True,False
25206547000179,25206547,MOBISEG DISTRIBUIDORA DE SERVICOS LTDA,False,False,False,False,False,False,True
25238191000155,25238191,BELLUNO MEIOS DE PAGAMENTO E SOLUCOES EM TECNOLOGIA LTDA,False,False,False,False,False,False,True
25288351000170,25288351,VINYA SERVICOS E TECNOLOGIA LTDA.,False,False,False,False,False,False,True
26183032000163,26183032,PSB BRASIL - MEIOS DE PAGAMENTO S.A.,False,False,False,False,False,False,True
26263428000110,26263428,DINDIN SOLUÇÕES FINANCEIRAS S.A.,False,False,False,False,False,False,True
26310846000111,26310846,HUBMONEY MEIOS DE PAGAMENTOS LTDA.,False,False,False,False,False,False,True
26365439000101,26365439,OMEGA CARD SOLUCOES EM PAGAMENTOS LTDA,False,False,False,False,False,False,True
